Continent,Country,Population_Density,Fertility_Rate,GDP_PPP,Corruption,Government_Effectiveness,Political_Stability,Rule_of_Law,Government_Healthcare_Spend,Urban_Population,Smoking_Prevalence,Tourism,Women_In_Parliament,Obesity_Rate,Year,Diabetes Prevelance % of Population 20-79,Labour Force Total,Population,Population Aged 65 and above % of Total,Urban Population,Death Rate Per 1000 (2017),PM2.5 mean annual exposure,PM2.5 population exposed exceeding levels,Total Covid Cases,Total Covid Deaths,Covid Cases per Pop. 1000,Covid Deaths per Pop. 1000,Land Border Countries,Passengerkm
Asia,Afghanistan,59.6,4.04,1800.0,-1.496648,-1.457285,-2.74673,-1.668478,0.05095819,0.10800000000000001,,,0.2786885,0.055,2019.0,9.2,10699797.0,38041754.0,2.615794214,9797273.0,6.575,56.91080835,100.0,39548,1469,1.0395945465606027,0.03861546447095999,6,1.4749676762859996
Africa,Algeria,18.4,2.54,14000.0,-0.636465,-0.4439246,-0.7937849,-0.7753089,0.6595469,0.0634,0.156,2657000.0,0.25757579999999997,0.27399999999999997,2019.0,6.7,12303926.0,43053054.0,6.552777882000001,31510100.0,4.717,38.884010700000005,100.0,52399,1773,1.2170797453764837,0.041181747524809735,7,7.796012393709191
Africa,Angola,26.4,5.41,5440.0,-1.144541,-1.052086,-0.3190349,-1.048023,0.4627865,0.253,,218000.0,0.3,0.08199999,2019.0,4.5,13164276.0,31825295.0,2.19934175,21061025.0,8.432,32.38850491,100.0,5725,211,0.17988835610164808,0.006629946399554191,4,3.8354961756446
South America,Argentina,16.5,2.23,17100.0,-0.0834675,0.0259878,0.019931900000000002,-0.2400078,0.7243212,0.429,0.218,6942000.0,0.4015748,0.28300000000000003,2019.0,5.9,20772672.0,44938712.0,11.24310827,41339571.0,7.6160000000000005,13.31183395,93.85282467,824455,21827,18.34620894341609,0.48570595436736147,5,31.561979187781528
Oceania,Australia,3.32,1.81,45800.0,1.806201,1.596495,0.9765741,1.715279,0.6891285,0.609,0.147,9246000.0,0.30463579999999996,0.29,2019.0,5.6,13414956.0,25364307.0,15.92120175,21844756.0,6.5,8.550324401000001,24.89358377,27174,895,1.0713480167228695,0.035285805364207265,0,144.20425801784125
Europe,Austria,109.0,1.54,47300.0,1.596262,1.453342,0.9175232,1.875834,0.7239253999999999,0.21600000000000003,0.29600000000000004,30816000.0,0.3934426,0.201,2019.0,6.6,4613292.0,8877067.0,19.07560629,5194416.0,9.5,12.47796673,85.05153767,50435,840,5.681493673529782,0.0946258488304752,8,24.44056235420223
Europe,Azerbaijan,123.0,2.01,16400.0,-0.8286030999999999,-0.1004674,-0.6967331,-0.6002175999999999,0.15107320000000002,0.231,0.20800000000000002,2633000.0,0.1680672,0.19899999999999998,2019.0,6.1,5103137.0,10023318.0,6.44638912,5616165.0,5.8,19.92866362,100.0,40931,600,4.083577913022414,0.05986041747852358,5,4.046015316396201
Asia,Bahrain,2240.0,1.94,42000.0,-0.14728670000000002,0.1798774,-0.8404424,0.4127088,0.5797814,,0.264,12045000.0,0.15,0.298,2019.0,15.6,978624.0,1641172.0,2.518809729,1467109.0,2.3680000000000003,70.81620768,100.0,73476,262,44.77044453597795,0.15964201192806118,0,7.993660547728302
Asia,Bangladesh,1270.0,2.0,4400.0,-0.9050215,-0.7483993,-1.0324799999999998,-0.6402364,0.16693339999999998,0.155,0.23,,0.20630370000000003,0.036000000000000004,2019.0,9.2,70009461.0,163046161.0,5.180351348,60987417.0,5.5329999999999995,60.84578458,100.0,371631,5405,2.2792992961054757,0.03315012121015226,2,13.814955394959792
Europe,Belarus,46.6,1.73,18200.0,-0.19227560000000002,-0.3010303,0.35353190000000007,-0.8329658999999999,0.6996361999999999,0.213,0.267,11501600.0,0.4,0.245,2019.0,5.0,5036882.0,9466856.0,15.20084135,7482982.0,12.6,18.76557991,99.93135197,81090,868,8.565673756947396,0.09168830707892885,5,2.073893502069199
Europe,Belgium,383.0,1.81,43900.0,1.5102790000000001,1.171748,0.41235600000000006,1.3679,0.7721739000000001,0.27,0.282,9119000.0,0.42,0.221,2019.0,4.6,5101824.0,11484055.0,19.00656607,11259082.0,9.6,12.88651847,91.94854035,134197,10092,11.685506556699702,0.8787836700538268,4,32.823939856321736
South America,Brazil,25.4,1.67,14500.0,-0.4196956,-0.4474374,-0.3570176,-0.2776436,0.4187938,0.42100000000000004,0.139,6621000.0,0.1500975,0.221,2019.0,10.4,106500838.0,211049527.0,9.251608036,183241641.0,6.377999999999999,12.70662947,68.13503006,4969141,147494,23.54490469907568,0.6988596567667267,10,70.3915202781586
Europe,Bulgaria,64.0,1.62,20900.0,-0.15153350000000002,0.2718757,0.4196386,-0.029567000000000003,0.5186407999999999,0.183,0.37,9273000.0,0.2583333,0.25,2019.0,6.0,3295081.0,6975761.0,21.25296727,5256027.0,15.5,19.14913234,99.89467432,22306,862,3.1976439559784233,0.12357074733495026,5,8.331319792349094
Asia,Cambodia,94.7,2.45,4290.0,-1.325572,-0.568605,0.10822899999999999,-1.114671,0.2380185,0.122,0.172,6201000.0,0.2,0.039,2019.0,6.4,9350230.0,16486542.0,4.717769196,3924621.0,6.017,25.61429187,100.0,280,0,0.016983549370146876,0.0,3,6.831276786706399
North America,Canada,4.15,1.56,44500.0,1.873514,1.7161080000000002,0.9911886000000001,1.7707950000000001,0.7371864,0.45799999999999996,0.14300000000000002,21134000.0,0.2899408,0.294,2019.0,7.6,20583847.0,37589262.0,17.64789689,30628482.0,7.5,6.428383133,0.0,171323,9530,4.557764395587229,0.25352985115802484,1,135.02783540641113
