Country,Date,Event,Event Type
Afghanistan,2020-01-01,Internal movement [0]: no measures,Internal movement
Afghanistan,2020-01-01,International travel [0]: no measures,International travel
Afghanistan,2020-01-01,Public campaign [0]: no measures,Public campaign
Afghanistan,2020-01-01,Public events [0]: no measures,Public events
Afghanistan,2020-01-01,Public gatherings [0]: no measures,Public gatherings
Afghanistan,2020-01-01,Public transport [0]: no measures,Public transport
Afghanistan,2020-01-01,School closure [0]: no measures,School closure
Afghanistan,2020-01-01,Stay at home [0]: no measures,Stay at home
Afghanistan,2020-01-01,Workplace closure [0]: no measures,Workplace closure
Afghanistan,2020-02-23,International travel [3]: Ban on high-risk regions,International travel
Afghanistan,2020-03-01,Public campaign [2]: coordinated public information campaign,Public campaign
Afghanistan,2020-03-01,Public events [2]: required cancellation,Public events
Afghanistan,2020-03-14,School closure [3]: required closing for all,School closure
Afghanistan,2020-03-24,Workplace closure [3]: required closing for all but essential sectors,Workplace closure
Afghanistan,2020-03-25,Internal movement [1]: recommended refrain,Internal movement
Afghanistan,2020-03-25,Stay at home [2]: required with exception,Stay at home
Afghanistan,2020-03-28,Public transport [2]: required closure,Public transport
Afghanistan,2020-04-05,Public gatherings [4]: restrictions less than 10 people,Public gatherings
Afghanistan,2020-04-12,Internal movement [2]: required restriction,Internal movement
Afghanistan,2020-06-09,International travel [1]: screening,International travel
Afghanistan,2020-08-04,Workplace closure [2]: required closing for some,Workplace closure
Afghanistan,2020-08-05,School closure [2]: required closing for some,School closure
Afghanistan,2020-08-15,Public events [0]: no measures,Public events
Afghanistan,2020-08-18,Internal movement [1]: recommended refrain,Internal movement
Afghanistan,2020-08-18,Public gatherings [0]: no measures,Public gatherings
Afghanistan,2020-08-26,Internal movement [0]: no measures,Internal movement
Afghanistan,2020-08-26,Public transport [0]: no measures,Public transport
Afghanistan,2020-08-26,Stay at home [0]: no measures,Stay at home
Afghanistan,2020-08-26,Workplace closure [0]: no measures,Workplace closure
Afghanistan,2020-09-22,Workplace closure [2]: required closing for some,Workplace closure
Afghanistan,2020-10-03,School closure [1]: recommended closing,School closure
Albania,2020-01-01,International travel [0]: no measures,International travel
Albania,2020-01-01,Public campaign [0]: no measures,Public campaign
Albania,2020-01-01,School closure [0]: no measures,School closure
Albania,2020-01-01,Workplace closure [0]: no measures,Workplace closure
Albania,2020-02-14,Public campaign [1]: public officials urging caution,Public campaign
Albania,2020-02-25,International travel [1]: screening,International travel
Albania,2020-03-09,Public events [2]: required cancellation,Public events
Albania,2020-03-09,Public gatherings [2]: restrictions between 100-1000 people,Public gatherings
Albania,2020-03-09,School closure [3]: required closing for all,School closure
Albania,2020-03-10,Public campaign [2]: coordinated public information campaign,Public campaign
Albania,2020-03-11,International travel [2]: Quarantine arrivals from high-risk regions,International travel
Albania,2020-03-11,Workplace closure [2]: required closing for some,Workplace closure
Albania,2020-03-13,Internal movement [2]: required restriction,Internal movement
Albania,2020-03-13,Public transport [2]: required closure,Public transport
Albania,2020-03-13,Stay at home [2]: required with exception,Stay at home
Albania,2020-03-15,International travel [3]: Ban on high-risk regions,International travel
Albania,2020-03-23,International travel [4]: Total border closure,International travel
Albania,2020-04-18,Public gatherings [4]: restrictions less than 10 people,Public gatherings
Albania,2020-05-18,School closure [2]: required closing for some,School closure
Albania,2020-06-01,Internal movement [0]: no measures,Internal movement
Albania,2020-06-01,International travel [3]: Ban on high-risk regions,International travel
Albania,2020-06-01,Stay at home [0]: no measures,Stay at home
Albania,2020-06-22,International travel [2]: Quarantine arrivals from high-risk regions,International travel
Albania,2020-07-06,Public transport [1]: recommended closure or volume reduction,Public transport
Albania,2020-08-07,Public transport [0]: no measures,Public transport
Albania,2020-08-28,International travel [1]: screening,International travel
Albania,2020-08-28,School closure [3]: required closing for all,School closure
Albania,2020-09-14,School closure [0]: no measures,School closure
Albania,2020-10-21,Public gatherings [1]: restrictions above 1000 people,Public gatherings
