Countries,Population
Afghanistan,38041754.0
Albania,2854191.0
Algeria,43053054.0
Andorra,77142.0
Angola,31825295.0
Antigua and Barbuda,97118.0
Argentina,44938712.0
Armenia,2957731.0
Australia,25364307.0
Austria,8877067.0
Azerbaijan,10023318.0
Bahamas,389482.0
Bahrain,1641172.0
Bangladesh,163046161.0
Barbados,287025.0
Belarus,9466856.0
Belgium,11484055.0
Belize,390353.0
Benin,11801151.0
Bhutan,763092.0
Bolivia,11513100.0
Bosnia and Herzegovina,3301000.0
Botswana,2303697.0
Brazil,211049527.0
Brunei,433285.0
Bulgaria,6975761.0
Burkina Faso,20321378.0
Burundi,11530580.0
Cambodia,16486542.0
Cameroon,25876380.0
Canada,37589262.0
Cape Verde,549935.0
Central African Republic,4745185.0
Chad,15946876.0
Chile,18952038.0
China,1397715000.0
Colombia,50339443.0
Comoros,850886.0
"Congo, Dem. Rep.",86790567.0
"Congo, Rep.",5380508.0
Costa Rica,5047561.0
Cote d'Ivoire,25716544.0
Croatia,4067500.0
Cuba,11333483.0
Cyprus,1198575.0
Czech Republic,10669709.0
Denmark,5818553.0
Djibouti,973560.0
Dominica,71808.0
Dominican Republic,10738958.0
Ecuador,17373662.0
Egypt,100388073.0
El Salvador,6453553.0
Equatorial Guinea,1355986.0
Eritrea,
Estonia,1326590.0
Ethiopia,112078730.0
Fiji,889953.0
Finland,5520314.0
France,67059887.0
Gabon,2172579.0
Gambia,2347706.0
Georgia,3720382.0
Germany,83132799.0
Ghana,30417856.0
Greece,10716322.0
Grenada,112003.0
Guatemala,16604026.0
Guinea,12771246.0
Guinea-Bissau,1920922.0
Guyana,782766.0
Haiti,11263077.0
Honduras,9746117.0
Hungary,9769949.0
Iceland,361313.0
India,1366417754.0
Indonesia,270625568.0
Iran,82913906.0
Iraq,39309783.0
Ireland,4941444.0
Israel,9053300.0
Italy,60297396.0
Jamaica,2948279.0
Japan,126264931.0
Jordan,10101694.0
Kazakhstan,18513930.0
Kenya,52573973.0
Kuwait,4207083.0
Kyrgyz Republic,6456900.0
Lao,7169455.0
Latvia,1912789.0
Lebanon,6855713.0
Lesotho,2125268.0
Liberia,4937374.0
Libya,6777452.0
Liechtenstein,
Lithuania,2786844.0
Luxembourg,619896.0
Madagascar,26969307.0
Malawi,18628747.0
Malaysia,31949777.0
Maldives,530953.0
Mali,19658031.0
Malta,502653.0
Mauritania,4525696.0
Mauritius,1265711.0
Mexico,127575529.0
Moldova,2657637.0
Monaco,
Mongolia,3225167.0
Montenegro,622137.0
Morocco,36471769.0
Mozambique,30366036.0
Myanmar,54045420.0
Namibia,2494530.0
Nepal,28608710.0
Netherlands,17332850.0
New Zealand,4917000.0
Nicaragua,6545502.0
Niger,23310715.0
Nigeria,200963599.0
Norway,5347896.0
Oman,4974986.0
Pakistan,216565318.0
Palestine,
Panama,4246439.0
Papua New Guinea,
Paraguay,7044636.0
Peru,32510453.0
Philippines,108116615.0
Poland,37970874.0
Portugal,10269417.0
Qatar,2832067.0
Romania,19356544.0
Russia,144373535.0
Rwanda,12626950.0
San Marino,
Sao Tome and Principe,215056.0
Saudi Arabia,34268528.0
Senegal,16296364.0
Serbia,6944975.0
Seychelles,97625.0
Sierra Leone,7813215.0
Singapore,5703569.0
Slovak Republic,5454073.0
Slovenia,2087946.0
Somalia,15442905.0
South Africa,58558270.0
South Korea,51709098.0
South Sudan,
Spain,47076781.0
Sri Lanka,21803000.0
St. Kitts and Nevis,
St. Lucia,182790.0
St. Vincent and the Grenadines,110589.0
Sudan,42813238.0
Suriname,581372.0
Swaziland,1148130.0
Sweden,10285453.0
Switzerland,8574832.0
Syria,17070135.0
Tajikistan,9321018.0
Tanzania,58005463.0
Thailand,69625582.0
Togo,8082366.0
Trinidad and Tobago,1394973.0
Tunisia,11694719.0
Turkey,83429615.0
Uganda,44269594.0
Ukraine,44385155.0
United Arab Emirates,9770529.0
United Kingdom,66834405.0
United States,328239523.0
Uruguay,3461734.0
Uzbekistan,33580650.0
Venezuela,28515829.0
Vietnam,96462106.0
Yemen,29161922.0
Zambia,17861030.0
Zimbabwe,14645468.0
